post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Gobble 'n Grunt Archery & Outfitting,1,1,1,"9153 McArton Rd., R.R.#4",Almonte,Ontario,Canada,K0A 1A0,45.2261,-76.1933,613-253-0435,N/A,N/A,"Retail shop specializing in turkey/deer hunting and traditional archery. 12 brands of bows, 4 brands of crossbows.","archery, hunting, traditional archery, Almonte","Tue-Fri 9am-8pm, Sat 9am-5pm, Sun 10am-4pm, Mon Closed",N/A,N/A,N/A,Retail,Yes,No,No,No,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound, Crossbow",N/A,N/A
AMA Sportsmen Club,1,1,1,468 Lowes Side Road,Amherstburg,Ontario,Canada,N9V 2Y8,42.08884,-83.09319,519-736-5706,info@amasportsmen.com,www.amasportsmen.com,"Sportsmen club with indoor archery, air rifle range, outdoor archery, and 3D course. Founded in 1930, facilities accommodate up to 250 people. Archery instruction available.","archery, traditional archery, 3D archery, indoor archery, outdoor archery, Ontario","Indoor Archery: Mon 7pm-10:30pm (Oct-Apr); Lunch: Mon-Wed 11am-2pm, Thu 12-4pm, Sat 12-2pm",N/A,N/A,N/A,Indoor/Outdoor,N/A,Yes,N/A,Yes,$50 join + $50/year,"$3 members, $5 non-members",Yes,Yes,Included,"Recurve, Compound, Crossbow",N/A,Yes
Aylmer Golden Feather A.C.,1,1,1,58 Beach St.,Aylmer,Ontario,Canada,N5H 2M8,42.780128,-80.9868389,519-765-2294,bsgrundy@amtelecom.net,N/A,Indoor archery club located at Columbus Club. Affiliated with Golden Feather Archery Club of Aylmer. Hosts tri-county indoor archery championships.,"archery, indoor archery, Aylmer, Columbus Club, Golden Feather",N/A,N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bancroft Archery Club,1,1,1,27602 Hwy 62 South,Bancroft,Ontario,Canada,K0L 1C0,45.04351,-77.83245,613-332-0667,admin@bancroftfishandgame.com,bancroftfishandgame.com,"Part of Bancroft Fish and Game Protective Association. 3D Outdoor Archery Range, youth indoor archery.","archery, 3D archery, outdoor archery, Bancroft, fish and game",Mon-Sat 30min after sunrise to 30min before sunset; Sun 10am-30min before sunset,N/A,N/A,N/A,Outdoor,N/A,Yes,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes
Wolf's Den Sports,1,1,1,7560 8th Line,Utopia,Ontario,Canada,L0M 1T0,44.2900623,-79.7941325,705-424-4867,info@wolfsdensports.com,wolfsdensports.com,"Professional archery shop and outdoor range. 20-100 yard practice range, 3D trail with foam targets. Axe throwing, fishing.","archery, 3D archery, outdoor archery, pro shop, Utopia","Sun-Wed 9am-4pm, Thu-Sat 9am-5pm, Mon Closed. Range: Dawn to Dusk daily.",N/A,100,N/A,Outdoor,Yes,Yes,N/A,No,N/A,$15 guest admission,Yes,Yes,N/A,"Recurve, Compound, Crossbow",N/A,Yes
Oshawa Clay and Target Club,1,1,1,5245 Wilson Rd N,Oshawa,Ontario,Canada,L1H 0K5,44.038007,-78.900425,905-985-7763,info@oshawaclayandtargetclub.com,oshawaclayandtargetclub.com,"Multi-discipline shooting facility. Focus on trap, skeet, sporting clays. Archery facilities not explicitly confirmed on website.","archery, shooting club, trap, skeet, Oshawa","Wed, Sat, Sun 9am-4pm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Quinte Bay Archers,1,1,1,1090 Blessington Rd,Belleville,Ontario,Canada,K0K 1V0,44.2448821,-77.3248886,613-771-0674,N/A,N/A,"Archery club in Belleville area. Specific details unconfirmed. Related: Ontario Archery Supply (93 Station St, Belleville).","archery, club, Belleville, Quinte Bay",N/A,N/A,N/A,N/A,Club,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Base Borden Rod and Gun Club,1,1,1,36-44 El Alamein Rd W,Borden,Ontario,Canada,L0M 1C0,44.2899417,-79.8939699,705-424-1200,BBRGC@forces.gc.ca,bordenrodandgun.com,"Military base club. Indoor range (24/7 members), outdoor range (daylight), 3D course (35 targets). Membership required.","archery, military, indoor range, outdoor range, 3D course, Borden",Indoor: 24/7 (members). Outdoor: Daylight hours.,N/A,"30m (indoor), 50m (outdoor)",N/A,Both,N/A,Yes,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bothwell Archery Club,1,1,1,162 George St E,Bothwell,Ontario,Canada,N0P 1C0,42.6305712,-81.8679883,519-692-3746,marthajo@teksavvy.com,N/A,Pop-N-Jay archery club located at Bothwell Legion. Indoor facility. Registered with Archery Ontario.,"archery, Pop-N-Jay, indoor archery, Bothwell",Friday 7pm,N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peel Archery Club,1,1,1,107 Nuggett Ct,Brampton,Ontario,Canada,L6T 5A9,43.6919702,-79.8000816,N/A,info@peelarchery.ca,peelarchery.ca,"Ontario's only 70m indoor target range. 24/7 member access. Lessons, leagues, air gun range.","archery, indoor archery, 70m range, Olympic training, Brampton",24/7 member access,N/A,70,N/A,Indoor,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,"Recurve, Compound, Barebow",N/A,Yes
Brant Rod & Gun Club,1,1,1,54 Henderson Rd,Brantford,Ontario,Canada,N3R 0B8,43.1204342,-80.4091783,519-752-2053,clubhouse@brgc.ca,brgc.ca,"Multi-lane outdoor archery range in forested area. Accommodates longbows, compound bows, crossbows.","archery, traditional archery, outdoor archery, Brantford",N/A,N/A,N/A,N/A,Outdoor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,"Longbow, Compound Bow, Crossbow",N/A,Yes
Brockville District Fish and Game Club,1,1,1,2450 County Road 46,Brockville,Ontario,Canada,K6V 5T3,44.5892241,-75.7455838,613-342-3570,information@bdfgc.ca,bdfgc.ca,"Shooting sports facility supporting crossbow, compound, and recurve. Outdoor archery ranges.","archery, outdoor archery, Brockville, shooting sports",N/A,N/A,N/A,N/A,Outdoor,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"Crossbow, Compound Bow, Recurve",N/A,Yes
Burlington Rifle and Revolver Club,1,1,1,1540 King Road,Burlington,Ontario,Canada,L7P 5A5,43.3326516,-79.8495285,905-333-5494,brrc.archery@gmail.com,rangeburlington.ca,Range Burlington. Outdoor archery range (dawn-dusk). Supervised Sundays 11am-1pm (Summer). Crossbow 1st Sun/month.,"archery, outdoor archery, Burlington, shooting sports",Dawn to Dusk daily (members). Supervised: Sun 11am-1pm (Summer),N/A,40,3,Outdoor,No,No,No,Yes,N/A,N/A,Yes,Yes,N/A,"Compound Bow, Recurve, Crossbow",N/A,Yes
