"post_title","post_address","post_city","post_region","post_country","post_zip","post_latitude","post_longitude","phone","email","website","post_content","post_tags","business_hours","post_images","range_length_yards","number_of_lanes","facility_type","has_pro_shop","has_3d_course","has_field_course","membership_required","membership_price_adult","drop_in_price","equipment_rental_available","lessons_available","lesson_price_range","bow_types_allowed","accessibility"
"Big Horn Archery Club","5513 Highway 24 (Outdoor); 5830 Horse Lake Rd (Indoor)","100 Mile House","British Columbia","Canada","V0K 1X0","","","(250) 644-8613 (Grayson Klassen)","membership@lonebuttefishandwildlife.com","https://lonebuttefishandwildlife.com/","Discover the premier archery experience at **Big Horn Archery Club** in **100 Mile House, British Columbia**. As a hub for archery enthusiasts in the Cariboo region, this versatile club offers both high-quality **indoor and outdoor archery ranges** to accommodate shooters in every season. Whether you are practicing your aim in the dedicated indoor archery bay during the winter or enjoying the expansive outdoor range at Lone Butte Fish and Wildlife Association, Big Horn provides a welcoming environment for all skill levels.

Affiliated with Bighorn Archery Club events, the facility is perfect for **traditional, compound, and recurve bow** enthusiasts looking for a local **archery club in BC**. With affordable adult and youth memberships, it's the ideal destination for families and individuals eager to improve their accuracy. From introductory coaching sessions to registered target events, Big Horn Archery Club is your go-to source for competitive and recreational archery in 100 Mile House. Visit today to join a vibrant community of archers!","Indoor/Outdoor","Wed 7 PM (until temps below -10C)","","Indoor Archery Bay; Outdoor Range","Check club for range hours; Indoor winter shooting often Tue 7-9 PM","$50 (Adult) / $40 (Youth) / $35 (Child) - Bighorn Rates; Check Lone Butte for range fees","$10 (Adult) / $2 (Junior) - Guest Fee","Yes (During introductory events)","Introductory nights available","No for shoots","$30 adult, $50 family","$5 registration + $5/round","Yes","","","Recurve, Compound, Longbow, Traditional, Primitive",""
"Sagittarius Archers / Abbotsford Fish and Game Club","N/A (See Starr Archery or Abbotsford Fish & Game)","Abbotsford","British Columbia","Canada","N/A","","","N/A","N/A","N/A","Experience top-tier target practice at **Starr Archery**, part of the prestigious **Abbotsford Fish and Game Club** in **Abbotsford, British Columbia**. This premier **archery facility** serves both the Abbotsford and Mission communities, providing a comprehensive range system for archers of all experience levels. Whether you prefer the precision of a 20-yard **indoor archery range** during the colder months or the challenge of a 70-yard **outdoor archery range** and a scenic 3D trail during the summer, Starr Archery has the perfect environment for you.

The club is home to the Sagittarius Archers sub-club, which hosts popular Wednesday night drop-in sessions for non-members looking for affordable **archery in Abbotsford**. With expert coaching available and a robust youth program, it is an ideal spot for beginners to learn the ropes with **recurve, compound, or traditional bows**. For serious enthusiasts, the competitive membership rates and high-quality maintenance make it a standout destination for **archery training in BC**. Join the Abbotsford Fish and Game Club today to elevate your skills in a professional and supportive setting.","N/A","Wed 7 PM (drop-in)","","N/A","N/A","N/A","N/A","N/A","N/A","Yes (AFGC) for regular; Drop-in Wed","$30/person, $35/family","$10","Yes ($10, indoor only)","","","Recurve, Compound, Traditional",""
"Starr Archery","4161 Lakemount Road","Abbotsford/Mission","British Columbia","Canada","V3G 2J1","49.1223136","-122.2374939","(604) 852-4101","info@abbotsfordfishandgameclub.org","https://abbotsfordfishandgameclub.org/","Experience top-tier target practice at **Starr Archery**, part of the prestigious **Abbotsford Fish and Game Club** in **Abbotsford, British Columbia**. This premier **archery facility** serves both the Abbotsford and Mission communities, providing a comprehensive range system for archers of all experience levels. Whether you prefer the precision of a 20-yard **indoor archery range** during the colder months or the challenge of a 70-yard **outdoor archery range** and a scenic 3D trail during the summer, Starr Archery has the perfect environment for you.

The club is home to the Sagittarius Archers sub-club, which hosts popular Wednesday night drop-in sessions for non-members looking for affordable **archery in Abbotsford**. With expert coaching available and a robust youth program, it is an ideal spot for beginners to learn the ropes with **recurve, compound, or traditional bows**. For serious enthusiasts, the competitive membership rates and high-quality maintenance make it a standout destination for **archery training in BC**. Join the Abbotsford Fish and Game Club today to elevate your skills in a professional and supportive setting.","Indoor/Outdoor","Tue/Thu 5-8pm (outdoor season); Thu only (indoor season)","N/A","Indoor (20 yd); Outdoor (70 yd); 3D Trail","Wed 7-9 PM (Sagittarius Drop-in); General Range: 8 AM-10 PM","$170 (Adult) / $195 (Family) + $50 Work Bee deposit","$10 (Wed Night Drop-in) / Guest Fee $10","Yes ($10 rental on Wed nights)","Wed Night Drop-in coaching available","Yes for regular shooting","Indoor: $150 returning/$200 new; Outdoor: $175 returning/$225 new","$15","Yes (Thu only)","Yes","N/A","Recurve, Compound, Traditional","N/A"
"Armstrong District Fish & Game Assoc.","1428 Reservoir Road","Armstrong","British Columbia","Canada","V0E 1B0","50.4445481","-119.1941593","250-306-0737","ADFGA.Archery@gmail.com","http://www.adfga.ca","Discover the historic and family-friendly archery experience at **Armstrong District Fish & Game Assoc.** in **Armstrong, British Columbia**. Serving the community since 1953, our **outdoor archery range** on Reservoir Road provides a serene and well-maintained environment for archers of all levels. As a cornerstone of **archery in the North Okanagan**, we pride ourselves on fostering the next generation of shooters through our highly acclaimed **""Archery for Kids"" program**, which features seasonal coached sessions every Saturday morning.

Whether you are a seasoned compound shooter or a beginner interested in **recurve and traditional archery**, our facilities offer expansive target space from dawn until dusk. With affordable annual memberships for individuals and families, and accessible drop-in rates for our youth programs, Armstrong District Fish & Game Assoc. is the perfect place to grow your skills. Join a club with decades of heritage and enjoy the best of **outdoor shooting in BC**. Visit our range today to see why we are the top choice for **archery training in Armstrong!**","Outdoor Range","Archery: Sat 10 AM-12 PM (kids coached); General range: 8:30 AM to dusk or 8:30 PM","N/A","Outdoor Archery Range","Range: 8:30 AM to Dusk; Kids Program: Sat mornings (seasonal)","$90 (Adult/Senior) / $100 (Family)","$5 Guest Fee (must be with member); $10 Non-member Drop-in (Kids)","Yes (For Kids Program)","Archery for Kids (Coached)","Yes","N/A","$25","N/A","Yes","$10 per coached session","N/A","N/A"
"Burnaby Archers","Joe Sakic Way","Burnaby","British Columbia","Canada","V5B 4Z6","49.254208","-122.965581","N/A","burnabyarcherspresident@gmail.com","http://burnabyarchers.org","Looking for a dedicated space to practice your aim in the Lower Mainland? **Burnaby Archers** offers an exclusive, members-only **outdoor archery range** located in the beautiful **Burnaby Lake Regional Park, British Columbia**. This year-round facility is a haven for serious archers who own their own equipment and are looking for a tranquil environment to hone their skills. Operating from dawn until dusk, the range provides a picturesque setting on Joe Sakic Way, making it one of the most accessible **archery clubs in Burnaby**.

As a members-only club, Burnaby Archers prioritizes a focused shooting experience for **recurve, compound, and traditional bow** enthusiasts. While we do not offer drop-ins, rentals, or formal lessons, our affordable annual individual and family memberships provide unlimited access to one of the best **outdoor shooting ranges in BC**. Whether you're training for competition or shooting for recreation, Burnaby Archers is the premier choice for disciplined archers in the Vancouver area. Join our community today to enjoy the finest **archery in Burnaby!**","Archery club, Archery range","Daily dawn to dusk (year-round)","N/A","N/A","N/A","Outdoor","No","No","No","Yes","$110 individual / $220 family","N/A - Members only","No","No","N/A","Recurve, Compound, Traditional","N/A"
"New Totem Archery - Outdoor Range","9785 Jones Rd","Charlie Lake","British Columbia","Canada","V0C 1H0","56.275366","-120.834015","250-329-4899","newtotemarchery@live.com","https://newtotemarchery.net/","Experience the rugged beauty of the Peace region at **New Totem Archery - Outdoor Range** in **Charlie Lake, British Columbia**. As a premier destination for outdoor enthusiasts in Northern BC, our expansive range at 9785 Jones Rd offers a dedicated space for archers to practice their skills in a natural, open-air environment. Whether you are a fan of **compound, recurve, traditional, or barebow archery**, our facility is designed to provide a challenging and rewarding experience for shooters of all levels.

Open during scheduled times on Wednesday evenings and Sunday afternoons, New Totem Archery is the perfect spot for local residents and visitors to enjoy the sport of **archery in Charlie Lake**. With comprehensive annual memberships available for individuals, families, and juniors, we foster a community-driven atmosphere where accuracy and safety are paramount. Join us today to explore one of the finest **outdoor archery ranges in Northern BC** and take your shooting to the next altitude. New Totem Archery is your home for precision shooting in the heart of the Peace River country!","Archery range","Wed 7-9 PM; Sun 2-4 PM","N/A","N/A","N/A","Outdoor","No","Yes","N/A","Yes","$250 individual / $400 family (Junior $120)","$10","N/A","Yes","N/A","Compound, Recurve, Traditional, Barebow","N/A"
"Chilliwack Fish and Game","48685 Chilliwack Lake Rd","Chilliwack","British Columbia","Canada","V4Z 1A6","49.0807500","-121.8783461","604-824-1703","bruce_a22@hotmail.com","https://chilliwackfishandgame.com/archery/","Elevate your archery skills at **Chilliwack Fish and Game**, a premier destination for **archery in Chilliwack, British Columbia**. Nestled along Chilliwack Lake Road, our club features a highly active archery section suitable for shooters of all experience levels. We offer a versatile shooting experience with a professional **indoor archery range** for the winter months and high-quality **outdoor archery ranges** when the weather permits. Our facilities are designed to accommodate **compound, recurve, and traditional bows**, ensuring a comprehensive environment for every archer.

Join our vibrant community for our popular Thursday night shoots from 5-7 PM, a perfect opportunity for target practice and networking with fellow enthusiasts. We are also proud to offer a dedicated **Women's Introduction to Archery** program, fostering a supportive atmosphere for new female shooters. Whether you are looking for a top-tier **archery club in the Fraser Valley** or basic introductory coaching, Chilliwack Fish and Game provides the expertise and facilities you need. Visit us today and discover why we are the leading choice for **archery training in Chilliwack!**","Archery club","Thu 5-7 PM","N/A","N/A","N/A","Indoor/Outdoor","No","N/A","N/A","Yes","N/A","N/A","Yes","Yes (Women's Intro)","N/A","N/A","N/A"
"Burke Mountain Archers","5000 Upper Harper Road","Coquitlam","British Columbia","Canada","V3E 3H1","49.3088168","-122.7482478","N/A","burke.archery@gmail.com","https://pcdhfc.com/clubs/archery/","Experience the thrill of precision shooting at **Burke Mountain Archers**, the premier **archery facility in Coquitlam, British Columbia**. Affiliated with the Port Coquitlam & District Hunting and Fishing Club (PCDHFC), our range at 5000 Upper Harper Road offers a comprehensive experience for archers of all ages and skill levels. We specialize in both **indoor and outdoor archery**, providing year-round opportunities to hone your skills. Our 18m indoor range is perfect for consistent practice, while our beautiful outdoor settings offer a more rustic challenge.

For young aspiring archers, we proudly host the **Junior Olympian Program (JOP)**, a structured development initiative designed to foster excellence and safe shooting habits. We also offer popular **indoor drop-in nights**, making it easy for the community to access high-quality **archery in Coquitlam**. Whether you are a competitive recurve archer or a recreational compound shooter, Burke Mountain Archers provides the professional environment and expert community you need. Visit us today to join the top **archery club in the Tri-Cities!**","Indoor/Outdoor","N/A","N/A","Indoor: 18m; Outdoor: N/A","N/A","Indoor/Outdoor","No","Yes","Yes","N/A","$155 individual / $200 family (PCDHFC membership)","N/A","N/A","N/A","$120/year JOP","Recurve, Compound, Crossbow (<350fps)","N/A"
"Courtenay & District Fish & Game Protective Assoc.","3780 Colake Road","Courtenay","British Columbia","Canada","V9N 5N4","49.682355","-125.027562","250-338-5159","archery@courtenayfishandgame.org","https://www.courtenayfishandgame.org/archery","Discover the ultimate outdoor shooting experience at **Courtenay & District Fish & Game Protective Assoc.**, the premier **archery club in Courtenay, British Columbia**. Located on the scenic Vancouver Island, our facility at 3780 Colake Road offers an unparalleled environment for archers of all specialties. We feature an extensive **outdoor field range** with target butts ranging from 10 to 70 yards, perfect for honing accuracy at various distances. For those seeking adventure, our legendary **3km 3D archery trail** provides a diverse array of animal targets set in a beautiful natural landscape, making it a must-visit for **archery enthusiasts on Vancouver Island**.

Archery is more than just a sport at Courtenay Fish and Game; it's a community. Our facilities include the cozy Old Archers Cabin, complete with a wood stove for a rustic experience, and a dedicated field house for events. We are committed to growth, offering a **Junior Olympian Program (JOP)** for youth and hosting open house events on the first Sunday of every month. Whether you're a competitive shooter or a family looking for a new hobby, our **archery training and facilities in Courtenay** are second to none. Visit us today to experience the best of **3D and field archery in BC!**","Archery club","N/A","N/A","Field Range: 10-70 yards; 3D Trails","Dawn to Dusk (Members); Open House 1st Sun/month 10am-2pm","Outdoor","Free (First Sunday of Month Open House)","Yes (During Open House only)","Volunteers at Open House; JOP Program","Yes","Approx. $200/year (couple hundred)","N/A","N/A","N/A","N/A","N/A","Cabin with wood stove"
"Cranbrook Archery Club","2279 Cranbrook St N","Cranbrook","British Columbia","Canada","V1C 3T3","","","N/A","cranbrookarcherysecretary@gmail.com","http://www.cranbrookarcheryclub.com","Discover the premier archery experience in the Kootenays at **Cranbrook Archery Club**, located in **Cranbrook, British Columbia**. As a cornerstone of the East Kootenay sporting community, our club is dedicated to the growth and promotion of archery for all ages and skill levels. We offer comprehensive facilities, including a well-maintained **indoor 18m archery range** for year-round practice and an expansive **outdoor archery range** for high-performance training. Whether you are a fan of competitive target archery or looking to explore the excitement of our annual **3D archery shoots**, our club provides the perfect environment to hone your skills.

At Cranbrook Archery Club, we are proud to support the next generation through our dedicated **youth archery programs** and Junior Olympian Program (JOP). Affiliated with Archery Canada and BC Archery, we host a variety of registered target events and family-friendly shoots that attract enthusiasts from across the province. Whether you shoot a **compound, recurve, or traditional bow**, you'll find a welcoming community and expert guidance at our facility. Visit us today to experience the best **archery training in Cranbrook** and join our growing family of archers!","Archery club","","","Indoor 18m Range; Outdoor Range","Club Night: Tue 7-9PM; See website for events","$15 (Individual) / $25 (Family) + BC Archery Fee","N/A","No","Yes (Youth Program)","Yes","","","","Yes (JOP)","","",""
