name,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility
Big Horn Archery Club,5513 Highway 24 (Outdoor); 5830 Horse Lake Rd (Indoor),100 Mile House,British Columbia,Canada,V0K 1X0,,,(250) 644-8613 (Grayson Klassen),membership@lonebuttefishandwildlife.com,https://lonebuttefishandwildlife.com/,Club with indoor and outdoor ranges. Archery bay available. Also home to Bighorn Archery Club events.,Indoor/Outdoor,Wed 7 PM (until temps below -10C),,Indoor Archery Bay; Outdoor Range,Check club for range hours; Indoor winter shooting often Tue 7-9 PM,$50 (Adult) / $40 (Youth) / $35 (Child) - Bighorn Rates; Check Lone Butte for range fees,$10 (Adult) / $2 (Junior) - Guest Fee,Yes (During introductory events),Introductory nights available,No for shoots,"$30 adult, $50 family",$5 registration + $5/round,Yes,,,"Recurve, Compound, Longbow, Traditional, Primitive",
Sagittarius Archers / Abbotsford Fish and Game Club,N/A (See Starr Archery or Abbotsford Fish & Game),Abbotsford,British Columbia,Canada,N/A,,,N/A,N/A,N/A,Likely a generic reference or closed business. See Starr Archery or Abbotsford Fish & Game for active local ranges.,N/A,Wed 7 PM (drop-in),,N/A,N/A,N/A,N/A,N/A,N/A,Yes (AFGC) for regular; Drop-in Wed,"$30/person, $35/family",$10,"Yes ($10, indoor only)",,,"Recurve, Compound, Traditional",
Starr Archery,4161 Lakemount Road,Abbotsford/Mission,British Columbia,Canada,V3G 2J1,49.1223136,-122.2374939,(604) 852-4101,info@abbotsfordfishandgameclub.org,https://abbotsfordfishandgameclub.org/,Private club with indoor/outdoor archery ranges. Sagittarius Archers sub-club hosts Wed night drops-ins.,Indoor/Outdoor,Tue/Thu 5-8pm (outdoor season); Thu only (indoor season),N/A,Indoor (20 yd); Outdoor (70 yd); 3D Trail,Wed 7-9 PM (Sagittarius Drop-in); General Range: 8 AM-10 PM,$170 (Adult) / $195 (Family) + $50 Work Bee deposit,$10 (Wed Night Drop-in) / Guest Fee $10,Yes ($10 rental on Wed nights),Wed Night Drop-in coaching available,Yes for regular shooting,Indoor: $150 returning/$200 new; Outdoor: $175 returning/$225 new,$15,Yes (Thu only),Yes,N/A,"Recurve, Compound, Traditional",N/A
Armstrong District Fish & Game Assoc.,1428 Reservoir Road,Armstrong,British Columbia,Canada,V0E 1B0,50.4445481,-119.1941593,250-306-0737,ADFGA.Archery@gmail.com,http://www.adfga.ca,Fish and game club with archery facilities since 1953. Archery for Kids program available.,Outdoor Range,Archery: Sat 10 AM-12 PM (kids coached); General range: 8:30 AM to dusk or 8:30 PM,N/A,Outdoor Archery Range,Range: 8:30 AM to Dusk; Kids Program: Sat mornings (seasonal),$90 (Adult/Senior) / $100 (Family),$5 Guest Fee (must be with member); $10 Non-member Drop-in (Kids),Yes (For Kids Program),Archery for Kids (Coached),Yes,N/A,$25,N/A,Yes,$10 per coached session,N/A,N/A
Burnaby Archers,Joe Sakic Way,Burnaby,British Columbia,Canada,V5B 4Z6,49.254208,-122.965581,N/A,burnabyarcherspresident@gmail.com,http://burnabyarchers.org,"Members-only outdoor archery range at Burnaby Lake Regional Park. No drop-ins, lessons, or equipment rental.","Archery club, Archery range",Daily dawn to dusk (year-round),N/A,N/A,N/A,Outdoor,No,No,No,Yes,$110 individual / $220 family,N/A - Members only,No,No,N/A,"Recurve, Compound, Traditional",N/A
New Totem Archery - Outdoor Range,9785 Jones Rd,Charlie Lake,British Columbia,Canada,V0C 1H0,56.275366,-120.834015,250-329-4899,newtotemarchery@live.com,https://newtotemarchery.net/,Outdoor archery range in the Peace region.,Archery range,Wed 7-9 PM; Sun 2-4 PM,N/A,N/A,N/A,Outdoor,No,Yes,N/A,Yes,$250 individual / $400 family (Junior $120),$10,N/A,Yes,N/A,"Compound, Recurve, Traditional, Barebow",N/A
Chilliwack Fish and Game,48685 Chilliwack Lake Rd,Chilliwack,British Columbia,Canada,V4Z 1A6,49.0807500,-121.8783461,604-824-1703,bruce_a22@hotmail.com,https://chilliwackfishandgame.com/archery/,"Active archery section. Shoots Thursday nights 5-7pm. Indoor during winter, outdoor when weather permits.",Archery club,Thu 5-7 PM,N/A,N/A,N/A,Indoor/Outdoor,No,N/A,N/A,Yes,N/A,N/A,Yes,Yes (Women's Intro),N/A,N/A,N/A
Burke Mountain Archers,5000 Upper Harper Road,Coquitlam,British Columbia,Canada,V3E 3H1,49.3088168,-122.7482478,N/A,burke.archery@gmail.com,https://pcdhfc.com/clubs/archery/,Affiliated with PCDHFC. Indoor drop-in nights and Junior Olympian Program (JOP).,Indoor/Outdoor,N/A,N/A,Indoor: 18m; Outdoor: N/A,N/A,Indoor/Outdoor,No,Yes,Yes,N/A,$155 individual / $200 family (PCDHFC membership),N/A,N/A,N/A,$120/year JOP,"Recurve, Compound, Crossbow (<350fps)",N/A
Courtenay & District Fish & Game Protective Assoc.,3780 Colake Road,Courtenay,British Columbia,Canada,V9N 5N4,49.682355,-125.027562,250-338-5159,archery@courtenayfishandgame.org,https://www.courtenayfishandgame.org/archery,Field range with target butts 10-70 yards. 3km trail with variety of 3D targets. Field house and Old Archers Cabin with wood stove.,Archery club,N/A,N/A,Field Range: 10-70 yards; 3D Trails,Dawn to Dusk (Members); Open House 1st Sun/month 10am-2pm,Outdoor,Free (First Sunday of Month Open House),Yes (During Open House only),Volunteers at Open House; JOP Program,Yes,Approx. $200/year (couple hundred),N/A,N/A,N/A,N/A,N/A,Cabin with wood stove
Cranbrook Archery Club,2279 Cranbrook St N,Cranbrook,British Columbia,Canada,V1C 3T3,,,N/A,cranbrookarcherysecretary@gmail.com,http://www.cranbrookarcheryclub.com,"Supports growth of archery in the Kootenays. Offers shooting facilities, youth archery program, yearly 3D shoots and registered target events. Affiliated with Archery Canada and BC Archery.",Archery club,,,Indoor 18m Range; Outdoor Range,Club Night: Tue 7-9PM; See website for events,$15 (Individual) / $25 (Family) + BC Archery Fee,N/A,No,Yes (Youth Program),Yes,,,,Yes (JOP),,,
