 ,post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available,data_status,,
,Gobble 'n Grunt Archery & Outfitting,1,1,1,248 Gillies Corner Rd,Smiths Falls,Ontario,Canada,,45.2261,-76.1933,613-285-7555,,,Archery shop and outfitting in Almonte,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,AMA Sportsmen Club,1,1,1,468 Lowes Side Road,Amherstburg,Ontario,Canada,N9V 2Y8,42.08884,-83.09319,519-736-5706,N/A,www.amasportsmen.com,"Sportsmen club with indoor archery, air rifle range, outdoor archery, and 3D course. Founded in 1930, facilities accommodate up to 250 people. Archery instruction available.","archery, traditional archery, 3D archery, indoor archery, outdoor archery, Ontario","Indoor Archery: Mondays 7pm-10:30pm (Oct-Apr), Youth 7-8pm, Adults 8-10:30pm. 3D Course: Monthly (Mar-Sept). Lunch: Mon-Wed 11am-2pm, Thu 12-4pm, Sat 12-2pm",N/A,N/A,N/A,Indoor/Outdoor,N/A,Yes,N/A,Yes,$50 join + $50/year,"$3 members, $5 non-members",Yes,Yes,Included,"Recurve, Compound, Crossbow",N/A,Yes,Complete,,
,Aylmer Golden Feather A.C.,1,1,1,58 Beach St.,Aylmer,Ontario,Canada,N5H 2M8,42.780128,-80.9868389,519-765-2294,N/A,N/A,Indoor archery club located at Columbus Club. Affiliated with Golden Feather Archery Club of Aylmer. Hosts tri-county indoor archery championships and other competitive events.,"archery, indoor archery, Aylmer, Columbus Club, Golden Feather",N/A,N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Complete,,
,Bancroft Archery Club,1,1,1,27602 Hwy 62 South,Bancroft,Ontario,Canada,K0L 1C0,45.04351,-77.83245,613-332-0667,admin@bancroftfishandgame.com,www.bancroftfishandgame.com,"NOTE: No standalone 'Bancroft Archery Club' exists. Archery facilities available through Bancroft Fish and Game Protective Association. Features 3D outdoor archery range, archery practice areas, and youth indoor archery activities. Multi-use facility also offering shooting ranges for trap, skeet, rifle, and handgun.","archery, 3D archery, outdoor archery, Bancroft, fish and game",N/A,N/A,N/A,N/A,Outdoor,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Complete - Part of Fish & Game Club,
,Wolf's Den Sports,1,1,1,7560 8th Line,Utopia,Ontario,Canada,L0M 1T0,44.2900623,-79.7941325,705-424-4867,online@wolfsdensports.com,www.thewolfsden.shop,"Professional archery shop and outdoor range located in Utopia (near Barrie). Features practice range with targets from 20-100 yards, 3D target walking trail with foam targets including bears, deer, moose, dinosaurs, and a 7-foot Sasquatch. Open to public as guest or member. Facilities include catch and release bass ponds, axe/knife throwing, horseshoe pits, BBQs and pavilion. Dawn to dusk access.","archery, 3D archery, outdoor archery, archery range, pro shop, Barrie, Utopia",Dawn to Dusk,N/A,100,N/A,Outdoor,Yes,Yes,N/A,No,N/A,$15 guest admission,Yes,N/A,"Recurve, Compound, Crossbow",N/A,Yes,N/A,Partial - Needs Additional Details,,
,Barrie Gun Club,1,1,1,3619 County Rd 40,Springwater,Ontario,Canada,L4M 4S4,44.3547787,-79.8042354,705-905-9696,office@barriegunclub.org,https://barriegunclub.org,"Premier multi-discipline sport shooting club serving Simcoe County, Barrie, Orillia, GTA and surrounding areas. Membership-based facility offering 10-position indoor range with 25-meter lanes and 24/7 access. Features outdoor archery range with full 3D target course winding through property. Additional facilities include 8 outdoor rifle/pistol/shotgun ranges from 5-150 meters, clay fields with American Skeet and Trap, and covered 5-stand course. Family-friendly, member-run club emphasizing safety. Junior programs available for air rifle, skeet, and archery. Clubhouse features washroom facilities, fireplace, classroom, meeting areas, ammunition and merchandise sales. Office hours: Sat 9am-1pm, Sun 10am-1pm, Mon-Tue 5pm-8pm. Closed on long weekends.","archery, indoor range, 3D course, outdoor range, shooting club, membership","Office: Sat 9am-1pm, Sun 10am-1pm, Mon-Tue 5pm-8pm. Indoor range: 24/7 for members. Closed on long weekends.",N/A,27,10,Both,Yes,Yes,No,Yes,N/A,N/A,N/A,Yes,N/A,"Recurve, Compound, Crossbow",Fully Accessible,Yes,Complete,,
,Oshawa Clay and Target Club,1,1,1,5245 Wilson Rd N,Oshawa,Ontario,Canada,L1H 0K5,44.038007,-78.900425,905-985-7763,N/A,https://oshawaclayandtargetclub.com,"Durham Region's premier multi-discipline shooting facility, located short drive from downtown Oshawa and within 60 minutes from Toronto. Member-only club with no walk-ins accepted. Features indoor archery range at 20 yards for members. Additional facilities include 3 trap fields, 5 skeet fields (4 American, 1 International Olympic), heated indoor 5-Stand facility, 18-station sporting clays course, rifle range (50-300 yards), and handgun range (25-50 yards). Club promotes safe, family-friendly environment. Office hours: Sun & Sat 9am-4pm. Main gate locks at 4pm. Membership at full capacity, no waiting list maintained.","archery, shooting club, trap, skeet, sporting clays, rifle range, membership","Office: Sat-Sun 9am-4pm. Range: 9am-3pm daily. No rounds after 3:15pm (trap/skeet), 2:30pm (sporting clays). Gate locks at 4pm.",N/A,20,N/A,Indoor,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound, Crossbow",N/A,Yes,Complete,,
,Quinte Bay Archers,1,1,1,1090 Blessington Rd,Belleville,Ontario,Canada,K0K 1V0,44.2448821,-77.3248886,613-771-0674,N/A,N/A,"Archery club in Belleville area featuring both indoor and outdoor archery facilities. Offers 3D archery course for realistic hunting practice and target shooting. Located in Corbyville near Belleville, serving the Bay of Quinte region. Club provides archery opportunities for members and archers of all skill levels. Traditional archery club atmosphere focused on the sport of archery.","archery, 3D archery, indoor archery, outdoor archery, traditional archery, Ontario",N/A,N/A,N/A,N/A,Both,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound, Crossbow",N/A,N/A,Complete,,
,Base Borden Rod and Gun Club,1,1,1,36-44 El Alamein Rd W,Borden,Ontario,Canada,L0M 1C0,44.2899417,-79.8939699,705-424-1200 x3331/1536,bbrgc@forces.gc.ca,https://www.bordenrodandgun.com/,"Military base rod and gun club located on CFB Borden with comprehensive archery facilities. Indoor range (10-30m, 2 galleries) available 24/7 for members. Outdoor range (10-50m) open daylight hours. 3D archery course features 35 targets, operational spring to fall (closed in winter). Membership required - multiple categories including single ($80), family ($130-170), and military rates. Archery Directors: Jay Merner and Rob Warner. Access requires base access or membership.","archery, shooting, military, indoor range, outdoor range, 3D course, membership required","Indoor: 24/7 for members, Outdoor: Daylight hours",N/A,"33 (indoor), 55 (outdoor)",N/A,Both,N/A,Yes,No,Yes,"$80 (single), $130-170 (family)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Complete,,
,Bothwell Archery Club,1,1,1,162 George St E,Bothwell,Ontario,Canada,N0P 1C0,42.6305712,-81.8679883,519-692-3746,marthajo@teksavvy.com,N/A,"Pop-N-Jay archery club located at Bothwell Legion. Indoor archery facility shooting every Friday night at 7 p.m. Registered with Archery Ontario (Club Code: ON15). Active competition team, the Bothwell Robin Hood archers, who won the men's division in the National Pop N Jay Archery tournament. All skill levels welcome. Contact Martha Van Der Paelt for more information.","archery, Pop-N-Jay, indoor archery, traditional archery, Ontario",Friday: 7 PM,N/A,N/A,N/A,Indoor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Complete,,
