post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available
Southern Alberta Bowhunters Association (SABA),Admin,Archery Range,Verified,"Peenaquim Park, North Lethbridge",Lethbridge,Alberta,Canada,,49.7214,-112.8354,,info@sababowhunters.ca,https://www.southernalbertabowhuntersassociation.ca/,"Southern Alberta Bowhunters Association (SABA) in Lethbridge offers a premier outdoor archery range and 3D course. With targets from 5 to 100 yards, it's perfect for compound, recurve, and traditional archers to hone their skills year-round.","Outdoor, 3D, Bowhunting",N/A,,100.0,,Outdoor,No,Yes,No,Yes,,,No,No,,"Compound, Traditional",Outdoor Access,Yes
Brazeau Bowbenders Archery Club,Admin,Archery Range,Verified,Blue Rapids Provincial Recreation Area,Drayton Valley,Alberta,Canada,T7A 1S4,53.2185,-114.9782,780-515-0220,info@bbarchery.ca,https://bbarchery.ca/,"Brazeau Bowbenders Archery Club features an expansive outdoor range in Blue Rapids PRA and an exceptional indoor facility in Drayton Valley. Open to compound, traditional, and recurve shooters of all ages and skill levels, our 3D targets guarantee the ultimate archery practice.","Indoor, Outdoor, 3D",,,50.0,,Indoor/Outdoor,Yes,Yes,No,Yes,,,Yes,Yes,,All,Standard,Yes
Cold Lake Fish and Game Club,Admin,Archery Range,Verified,Range Road 434 & Hwy 55,Cold Lake,Alberta,Canada,,54.4642,-110.1824,780-594-3302,,https://coldlakefishandgame.com/,"Cold Lake Fish and Game Club boasts an immersive outdoor target range and an engaging 20-lane 3D archery course. Conveniently located near Cold Lake, our members enjoy unrestricted rural access to develop their bowhunting and competitive archery prowess.","Outdoor, Target",N/A,,,,Outdoor,No,Yes,No,Yes,,,No,No,,All,Rural,Yes
Game Country Archers,Admin,Archery Range,Verified,Evergreen Park,Grande Prairie,Alberta,Canada,T8V 3R5,55.1054,-118.7562,780-532-3279,,https://gamecountryarchers.com/,"Located at Evergreen Park in Grande Prairie, Game Country Archers is a top-tier outdoor archery and 3D range. Our park-accessible facility ensures a fantastic environment for traditional and compound bow archers seeking unparalleled target accuracy and recreational fun.","Outdoor, 3D",N/A,,,,Outdoor,No,Yes,No,Yes,,,No,No,,All,Park Access,Yes
Kneehill Bowhunters & Archers,Admin,Archery Range,Verified,Trochu Hall Basement,Trochu,Alberta,Canada,T0M 2C0,51.8267,-113.2217,403-993-5282,,https://trochu.ab.ca/,"Kneehill Bowhunters & Archers provides an accessible 20-lane indoor archery range in Trochu, Alberta. We welcome beginners and pros alike to utilize our excellent facility for consistent, weather-proof target practice during all seasons in Central Alberta.",Indoor,,,20.0,,Indoor,No,No,No,Yes,,,No,Yes,,All,Standard,Yes
Parkland Bowbenders Archery Club,Admin,Archery Range,Verified,80 Acres Wooded Land,Spruce Grove,Alberta,Canada,,53.5414,-114.0044,780-399-2898,info@parklandbowbenders.ca,https://parklandbowbenders.ca/,"Discover Parkland Bowbenders Archery Club, an incredible 80-acre wooded archery sanctuary in Spruce Grove. We offer outstanding outdoor static and 3D target loops exclusively for compound and traditional archers, open 24/7 for our dedicated members.","Outdoor, 3D",24/7 member access,,,,Outdoor,No,Yes,No,Yes,,Members only,No,No,,"Compound, Traditional",Wooded,Yes
Sherwood Park Archery Club,Admin,Archery Range,Verified,22352-22380 Township Road 520,Sherwood Park,Alberta,Canada,,53.5411,-113.2847,780-467-0085,info@sparchery.ca,https://sherwoodparkarchery.com/,"Sherwood Park Archery Club is a world-class indoor and outdoor archery center. Boasting pristine Field, FITA, and 3D ranges, we provide Sherwood Park archers with unparalleled 24/7 access to practice compound, recurve, and traditional bowhunting techniques.","Outdoor, FITA, 3D",24/7,,90.0,N/A,Indoor/Outdoor,No,Yes,Yes,Yes,$280,Members only,No,Yes,,All,Standard,Yes
Springbrook Archers,Admin,Archery Range,Verified,Springbrook Multiplex,Springbrook,Alberta,Canada,T4S 1W4,52.1814,-113.8824,403-638-7418,,https://www.facebook.com/SpringbrookArchers,"Springbrook Archers in the Springbrook Multiplex provides a welcoming, family-oriented indoor archery experience. Our 20-yard indoor range is the perfect place for central Alberta archers of all ages and bow styles to develop their shooting skills.",Indoor,,,20.0,,Indoor,No,No,No,Yes,,,Yes,Yes,,All,Standard,Yes
Stavely Archery Club,Admin,Archery Range,Verified,Stavely Archery Lanes,Stavely,Alberta,Canada,,50.1667,-113.6333,,,https://stavelyarcherylanes.com/,"Stavely Archery Club provides a high-quality 20-yard indoor range tailored for 3D shoots and youth archery programs. Based in Stavely, Alberta, we are dedicated to advancing the sport and delivering a fantastic family bowhunting environment.","Indoor, 3D",,,20.0,,Indoor,No,Yes,No,Yes,,,Yes,Yes,,All,Standard,Yes
Whitecourt Fish & Game Association,Admin,Archery Range,Verified,WFGA Grounds,Whitecourt,Alberta,Canada,,54.1439,-115.6828,,president@wfga.ca,https://wfga.ca/,"Whitecourt Fish & Game Association operates a dedicated outdoor archery range for compound, recurve, and traditional archers. Maintained by passionate local bowhunters, our expansive grounds guarantee a top-notch outdoor shooting experience without crossbows or broadheads.",Outdoor,N/A,,,,Outdoor,No,No,No,Yes,,,No,No,,"Compound, Traditional, Recurve",Standard,Yes
