name,image_path
Club de Tir a l'Arc Cupidon de Montreal-Nord,/quebec_listing_images/club_de_tir_a_larc_cupidon_de_montrealnord.jpg
Club de Tir a l'Arc de Montreal (CTAM),/quebec_listing_images/club_de_tir_a_larc_de_montreal_ctam.jpg
Club des Archers Deux-Montagnes,/quebec_listing_images/club_des_archers_deuxmontagnes.jpg
Club des Archers de Boucherville,/quebec_listing_images/club_des_archers_de_boucherville.jpg
Club Fleche d'Argent de Hull,/quebec_listing_images/club_fleche_dargent_de_hull.jpg
Club Kamentukash,/quebec_listing_images/club_kamentukash.jpg
Club Le Sagittaire,/quebec_listing_images/club_le_sagittaire.png
Kyudo Quebec,/quebec_listing_images/kyudo_quebec.jpg
Les Archers d'Amos,/quebec_listing_images/les_archers_damos.jpg
Les Archers de la Capitale,/quebec_listing_images/les_archers_de_la_capitale.jpg
Les Archers de Rawdon,/quebec_listing_images/les_archers_de_rawdon.png
Les Archers de Rimouski,/quebec_listing_images/les_archers_de_rimouski.png
Les Flechivores de Sherbrooke,/quebec_listing_images/les_flechivores_de_sherbrooke.jpg
Sports de Combats,/quebec_listing_images/sports_de_combats.jpg
Combat d'Archers Montreal,/quebec_listing_images/combat_darchers_montreal.jpg
Combat d'Archers Sherbrooke,/quebec_listing_images/combat_darchers_sherbrooke.jpg
Les Archers Perrotdamois,/quebec_listing_images/les_archers_perrotdamois.jpg
Club de Tir a l'Arc Le Gardeur,/quebec_listing_images/club_de_tir_a_larc_le_gardeur.png
